rural_or_urban,state_name,district_name,block_tehsil_name,town_municipality_name,village_name,ward_name,serial_number,enumeration_date,water_body_present_sac_data,unique_id,water_body_name,basin_name,sub_basin_name,water_body_type,nature_of_storage,khasra_number,latitude,longitude,water_body_location,ownership,water_body_in_use,water_body_uses_1,water_body_uses_2,water_body_uses_3,cca_water_body,ipc_water_body,not_in_use_reason,water_body_nature,manmade_water_body_type,construction_year,construction_cost,renovation_year,renovation_cost,water_body_presently_under_repair_renovation_restoration,scheme_under_revival_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,targeted_potential_revival,irrigation_potential_revived,associated_with_central_scheme,central_scheme_name,water_throughout_year,number_months,water_spread_area_reference_year,water_spread_area_current_year,minimum_water_spread_area,maximum_water_spread_area,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage,presence_of_silt,filled_up_storage_space,no_of_town_cities_benefited,no_of_villages_benefited,no_people_benefited_by_water_body,wua_exists,extent_of_area_covered_by_wua,number_of_wua_formed,dip_sip_exists,water_body_encroached,encroachment_assessed,area_encroached_percentage,standalone_or_connected,number_of_connected_water_bodies,captured_in_previous_census,enumerator_name,image_path,created_on,remark
Rural,GOA,North Goa,Bardez,,Revora,,4,2026-06-18,Yes,1/30/551/005929/0626664/0004,Mahadashi Lake,,,Lakes,,70/1,15.6589479,73.8526458,Others,State WRD/State Irrigation,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,4600.0,4600.0,3800.0,4600.0,2.5,11900.0,9000.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,KAJAL CHODANKAR,MIC_2871136.jpeg,2026-06-18 17:49:45.333,
Rural,GOA,North Goa,Bardez,,Revora,,5,2026-06-18,No,1/30/551/005929/0626664/0005,Virgacho Horta,,,Ponds,,37/46,15.6602478,73.8531494,Others,State WRD/State Irrigation,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,1050.0,1050.0,720.0,1050.0,1.3,1400.0,900.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,Yes,KAJAL CHODANKAR,MIC_2871227.jpeg,2026-06-18 18:12:29.344,
Rural,GOA,North Goa,Bardez,,Revora,,6,2026-06-18,Yes,1/30/551/005929/0626664/0006,Mestachi namas ,,,Others,mining pit ,112/18,15.650526,73.8594055,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Man-made,Earthen,1998.0,0.0,,,No,,,,,,,No,,Yes,,1000.0,1000.0,300.0,1000.0,6.4,,,,Yes,,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,KAJAL CHODANKAR,MIC_2871228.jpeg,2026-06-18 18:12:38.651,
Rural,GOA,North Goa,Bardez,,Revora,,7,2026-06-18,No,1/30/551/005929/0626664/0007,Virgacho Horta,,,Tank,,37/4,15.6606702,73.8534774,Others,Individual,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,180.0,180.0,90.0,180.0,2.6,450.0,300.0,Full,Yes,Filled up every year,1.0,1.0,5.0,,,,No,No,,,1-Standalone,,No,KAJAL CHODANKAR,MIC_2871403.jpeg,2026-06-18 18:43:18.261,
Rural,GOA,North Goa,Bardez,,Revora,,8,2026-06-18,No,1/30/551/005929/0626664/0008,Mott,,,Tank,,61/3,15.6588649,73.8492431,Others,Panchayat,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,180.0,180.0,110.0,180.0,2.5,440.0,300.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,Yes,KAJAL CHODANKAR,MIC_2871404.jpeg,2026-06-18 18:43:23.543,
Rural,GOA,North Goa,Bardez,,Revora,,9,2026-06-18,No,1/30/551/005929/0626664/0009,Escrovachi Namas,,,Ponds,,36/2,15.6624574,73.8535614,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,270.0,270.0,180.0,270.0,1.3,350.0,190.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,KAJAL CHODANKAR,MIC_2871405.jpeg,2026-06-18 18:43:26.461,
Rural,GOA,North Goa,Bardez,,Revora,,10,2026-06-18,No,1/30/551/005929/0626664/0010,Bimbecho AK,,,Tank,,21/12,15.6648416,73.8523254,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,110.0,110.0,60.0,110.0,2.5,280.0,120.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,KAJAL CHODANKAR,MIC_2871406.jpeg,2026-06-18 18:43:30.724,
Rural,GOA,North Goa,Bardez,,Revora,,11,2026-06-18,No,1/30/551/005929/0626664/0011,Kusto Ak,,,Ponds,,172/0,15.6570768,73.84449,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,170.0,170.0,110.0,170.0,1.3,218.0,170.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,KAJAL CHODANKAR,MIC_2871407.jpeg,2026-06-18 18:43:34.77,
Rural,GOA,North Goa,Bardez,,Nadora,,1,2026-06-22,No,1/30/551/005929/0626665/0001,Tali,,,Lakes,,95/0,15.6681032,73.8642807,Others,State WRD/State Irrigation,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,2100.0,2100.0,1500.0,2100.0,2.5,5400.0,3800.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,SHIVRAM PRABHU,MIC_2878096.jpeg,2026-06-22 11:14:28.329,
Rural,GOA,North Goa,Bardez,,Pirna,,1,2026-06-23,Yes,1/30/551/005929/0626666/0001,Vailem Kulan,,,Others,mining pit ,68/3,15.6753158,73.8987808,Others,Other private body,Yes,Ground water recharge,,,,,,Man-made,Earthen,2001.0,0.0,,,No,,,,,,,No,,Yes,,1200.0,1200.0,860.0,1200.0,6.4,,,,No,,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,VISWAS HALANKAR,MIC_2883657.jpeg,2026-06-23 18:34:27.608,
Rural,GOA,North Goa,Bardez,,Pirna,,2,2026-06-23,Yes,1/30/551/005929/0626666/0002,Dhove,,,Tank,,24/0,15.6797809,73.8815002,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,900.0,900.0,720.0,900.0,2.5,2200.0,2000.0,Full,Yes,Filled up every year,1.0,1.0,1.0,No,,,No,No,,,1-Standalone,,No,VISWAS HALANKAR,MIC_2883659.jpeg,2026-06-23 18:34:33.906,
Rural,GOA,North Goa,Bardez,,Pirna,,3,2026-06-23,No,1/30/551/005929/0626666/0003,Tokdobachi Ak,,,Ponds,,107/10,15.6675243,73.8960037,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,1300.0,1300.0,850.0,1300.0,1.3,1600.0,870.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,VISWAS HALANKAR,MIC_2883661.jpeg,2026-06-23 18:34:37.759,
Rural,GOA,North Goa,Bardez,,Assonora,,1,2026-05-04,No,1/30/551/005929/0626668/0001,kajryachi pati,,,Ponds,,0/0,15.6182686,73.8958697,Others,Group of Individuals,Yes,,Ground water recharge,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,100.0,100.0,70.0,80.0,3.0,200000.0,200000.0,Upto 1/2,Yes,Usually filled up,0.0,0.0,0.0,Not Known,,,No,No,,,1-Standalone,,No,DIVYA PARULEKAR,MIC_2682244.jpeg,2026-05-04 13:02:47.987,ponds is in bad condition 
Rural,GOA,North Goa,Bardez,,Sircaim,,1,2026-06-22,No,1/30/551/005929/0626669/0001,"Dharcha Set,Dharda Set",,,Lakes,,"117/1,3",15.6267604,73.8731842,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,4800.0,4800.0,2200.0,4800.0,2.6,12300.0,8100.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,SAHIL HALDANKAR,MIC_2878297.jpeg,2026-06-22 12:17:51.055,
Rural,GOA,North Goa,Bardez,,Sircaim,,2,2026-06-22,No,1/30/551/005929/0626669/0002,"Bandurly, Bhaunicho Aco,Capel Wado, Gudo, Sapavad,Surangicho Aco",,,Ponds,,40/35,15.6170845,73.8814468,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,1200.0,1200.0,700.0,1200.0,1.3,1500.0,800.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,SAHIL HALDANKAR,MIC_2878322.jpeg,2026-06-22 12:21:40.345,
Rural,GOA,North Goa,Bardez,,Tivim,,1,2026-05-04,Yes,1/30/551/005929/0626670/0001,Mahaganapati Temple Tank ,,,Tank,,522/2,15.6269217,73.8411833,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Man-made,Masonary,1983.0,500000.0,2020.0,300000.0,No,,,,,,,No,,Yes,,2762.0,2762.0,2700.0,2762.0,3.0,8286.0,2762.0,Full,Yes,Filled up every year,0.0,1.0,0.0,Not Known,,,No,No,,,2-Connected,1.0,Yes,ASHWINI N HODARKAR,MIC_2682708.jpeg,2026-05-04 15:33:50.171,Good condition
Rural,GOA,North Goa,Bardez,,Tivim,,2,2026-05-04,Yes,1/30/551/005929/0626670/0002,Ruichi - pati,,,Ponds,,528/15,15.6258467,73.8441533,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,1884.0,1884.0,1700.0,1884.0,1.27,2402.0,1700.0,Full,Yes,Filled up every year,0.0,1.0,0.0,No,,,No,No,,,1-Standalone,,Yes,ASHWINI N HODARKAR,MIC_2682735.jpeg,2026-05-04 15:36:44.327,needs maintenance 
Rural,GOA,North Goa,Bardez,,Tivim,,3,2026-05-04,Yes,1/30/551/005929/0626670/0003,Mining pit,,,Others,,78/17,15.647785,73.8780083,Others,Other private body,Yes,Ground water recharge,,,,,,Man-made,Others,2000.0,500000.0,,,No,,,,,,,No,,No,6-9 months,16665.0,16665.0,1000.0,16665.0,17.0,,,,Yes,,0.0,1.0,1.0,Not Known,,,No,No,,,1-Standalone,,No,ASHWINI N HODARKAR,MIC_2682827.jpeg,2026-05-04 15:52:29.865,mining pit
Rural,GOA,North Goa,Bardez,,Tivim,,4,2026-05-04,Yes,1/30/551/005929/0626670/0004,Private Tank,,,Ponds,,79/1,15.6481495,73.8777169,Others,Other private body,Yes,Ground water recharge,Irrigation,,10000.0,10000.0,,Man-made,Masonary,2012.0,1000000.0,,,No,,,,,,,No,,Yes,,1278.0,1278.0,800.0,1278.0,2.5,3195.0,1000.0,Full,Yes,Filled up every year,0.0,1.0,1.0,No,,,No,No,,,1-Standalone,,No,ASHWINI N HODARKAR,MIC_2682831.jpeg,2026-05-04 15:54:00.531,Needs repairs
Rural,GOA,North Goa,Bardez,,Tivim,,5,2026-05-04,Yes,1/30/551/005929/0626670/0005,Wadye Tank,,,Tank,,47/13,15.6379417,73.8670733,Others,Other private body,Yes,Irrigation,Ground water recharge,,1256.0,1256.0,,Man-made,Masonary,2004.0,1500000.0,,,No,,,,,,,No,,Yes,,98.0,98.0,90.0,98.0,2.0,200.0,150.0,Full,Yes,Filled up every year,0.0,1.0,1.0,Not Known,,,No,No,,,2-Connected,1.0,No,ASHWINI N HODARKAR,MIC_2682838.jpeg,2026-05-04 15:55:31.047,Needs repairs
Rural,GOA,North Goa,Bardez,,Tivim,,6,2026-05-04,No,1/30/551/005929/0626670/0006,Sequeirawada Tank,,,Tank,,106/9,15.6330173,73.8712633,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Man-made,Masonary,2005.0,490000.0,,,No,,,,,,,No,,Yes,,261.0,261.0,25.0,261.0,2.55,666.0,20.0,Full,Yes,Filled up every year,0.0,1.0,1.0,Yes,1.0,1.0,No,No,,,2-Connected,1.0,No,ASHWINI N HODARKAR,MIC_2682841.jpeg,2026-05-04 15:57:08.979,Need repairs
Rural,GOA,North Goa,Bardez,,Tivim,,7,2026-05-04,Yes,1/30/551/005929/0626670/0007,pond,,,Ponds,,505/0,15.635,73.848135,Others,Group of Individuals,No,,,,,,Dried-up,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,1003.0,1003.0,0.0,1003.0,1.0,1003.0,500.0,Full,Yes,Usually filled up,,,,No,,,No,No,,,1-Standalone,,No,ASHWINI N HODARKAR,MIC_2683190.jpeg,2026-05-04 17:49:42.089,dried.. need maintenance 
Rural,GOA,North Goa,Bardez,,Tivim,,8,2026-05-04,Yes,1/30/551/005929/0626670/0008,Holy Cross patar pond,,,Ponds,,44/40,15.6367783,73.86491,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,1832.0,1832.0,1100.0,1832.0,1.5,2700.0,1800.0,Full,Yes,Filled up every year,0.0,1.0,0.0,Not Known,,,No,No,,,2-Connected,1.0,No,ASHWINI N HODARKAR,MIC_2683228.jpeg,2026-05-04 18:07:19.909,needs maintenance 
Rural,GOA,North Goa,Bardez,,Tivim,,9,2026-05-05,Yes,1/30/551/005929/0626670/0009,Savrak Tala,,,Tank,,529/4,15.62507,73.8457183,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Man-made,Masonary,2015.0,2800000.0,,,No,,,,,,,No,,Yes,,1400.0,1400.0,1350.0,1400.0,2.0,2800.0,1000.0,Full,Yes,Filled up every year,0.0,10.0,0.0,No,,,No,No,,,2-Connected,1.0,No,ASHWINI N HODARKAR,MIC_2685293.jpeg,2026-05-05 12:23:46.815,Good condition 
Rural,GOA,North Goa,Bardez,,Tivim,,10,2026-06-22,No,1/30/551/005929/0626670/0010,Mining pit,,,Others,Mining pit ,78/17,15.6473083,73.8793029,Others,Other private body,Yes,Ground water recharge,,,,,,Man-made,Others,2000.0,0.0,,,No,,,,,,,No,,Yes,,16600.0,16600.0,7000.0,16600.0,17.0,,,,Yes,,1.0,1.0,2.0,No,,,No,No,,,1-Standalone,,No,ASHWINI N HODARKAR,MIC_2878273.jpeg,2026-06-22 12:04:47.842,
Rural,GOA,North Goa,Bardez,,Marna,,1,2026-05-07,No,1/30/551/005929/0626671/0001,pond-48/1,,,Ponds,,48/1 marna siolim,15.6166994,73.7884724,Others,Group of Individuals,Yes,Recreation,Ground water recharge,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,371.86,371.86,371.0,371.86,3.0,1116.0,1116.0,Full,No,Filled up every year,0.0,7.0,50.0,Yes,1.0,1.0,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692140.jpeg,2026-05-07 11:19:52.62,
Rural,GOA,North Goa,Bardez,,Marna,,2,2026-05-07,No,1/30/551/005929/0626671/0002,pond- 48/1,,,Ponds,,48/1 Siolim Marna,15.616615,73.7872133,Others,Group of Individuals,No,,,,,,Siltation,Natural,,,,,,No,,,,,,,No,,Yes,,2126.97,2126.97,1559.0,2126.97,4.0,6500.0,6500.0,Full,Yes,Filled up every year,,,,Yes,1.0,1.0,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692162.jpeg,2026-05-07 11:30:06.587,
Rural,GOA,North Goa,Bardez,,Marna,,3,2026-05-07,No,1/30/551/005929/0626671/0003,pond-11/2 Siolim Marna,,,Ponds,,11/2 Siolim Marna igrez wado,15.6147274,73.7725435,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,1391.73,1391.73,1000.0,1391.73,1.5,2088.0,1800.0,Full,Yes,Filled up every year,0.0,7.0,50.0,Yes,1.0,50.0,Yes,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692276.jpeg,2026-05-07 11:48:48.45,
Rural,GOA,North Goa,Bardez,,Marna,,4,2026-05-07,No,1/30/551/005929/0626671/0004,pond-16/5 Siolim marna,,,Ponds,,16/5 Siolim marna igrez wado,15.613441,73.7750788,Others,Group of Individuals,Yes,Irrigation,Ground water recharge,,36.13,40.23,,Natural,,,,,,No,,,,,,,No,,Yes,,382.11,382.11,280.0,382.11,3.0,1140.0,1140.0,Full,Yes,Filled up every year,0.0,7.0,100.0,Yes,1.0,1.0,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692283.jpeg,2026-05-07 11:51:32.641,
